username,user_id,counts
PrimroseEnis,1351220326722662400,3
natthakit420,1198031376190062592,3
qdfedfggfghh,1563235457160609793,3
punyopuntheplug,1554413311051321344,3
nomi_nee,14919666,3
MKyummy,945994243700428800,3
k_witchaya,1028221171215396864,3
nuad234,1455240979632377857,3
OgRangsit,1560966346694742016,3
WANGNANA2310,2912829652,3
qCjcnZIOC1URtx8,1541835592526602241,3
OneNightStoned,1564506774572781568,3
Thairath_Sport,86900112,3
b_og420,1553589826515238912,3
SWShigh,1545248856379904002,3
Patsakron20,1168003390581788672,3
Thebazt1997,1542539514802974720,3
mydearda,387018077,3
SKZsts,1030364095902449664,3
Unitasop,1487146347740676097,3
Mamaapo1Apo,1555292061267804160,3
naewna_news,925206827930763264,3
plawarn84658476,1561674310389215232,3
researchmrx,2256664812,3
Goodh1gh420,1566433153816084480,3
zxKUChSIPjCJpow,1406671025522151425,3
clit631,405968264,3
gtshop420,1551484070156451840,3
AliceTotile,1549674860934500352,3
cannabisshop999,1558300651968675840,3
CooperHempFarm,1536261602714210304,3
freacherjr,1371811543210356737,3
tktuy42,1426180037863100423,3
v67TUxV9D1Vm3rT,1538570852005908480,3
BUKGREEN420,1562175927718531072,3
French_Moneyy,1271868362612604928,3
havecannabis,1536988517925986304,3
v2_air,1292088823787085830,3
Easy42763027,1498758477225037824,3
420E_san,1559063583178125315,3
CannabisThc65,1538193224808173569,3
sungreen389,1564884002317963264,3
CannabizWay,1548211681511473152,3
BSickboyz,1557740292207702016,3
in4months,818111285699088384,3
Bangkok2557,65493888,3
f5551748,1003894378354520064,3
green991_,851283187867066372,3
bxm_ketu,1563270446216544260,3
weedcity456,1315325709376610305,3
gunzjahphayao,1420426494,3
DRAGONG22212188,1564961704932671488,3
cookie_vault,1540679455630192640,3
thisisnuner,1417488346109128718,3
yimtrw,3236472548,3
ittsweed,1477869860696723457,3
eieihh,933246493795917824,3
weedcalifonia,797287807764996096,3
dailycryptoO,1460105082750390278,3
tesboo_,2580016724,3
BloodBoyBaby,1537855775816941568,3
